id,name,party,partyLabel,votes,election,electionLabel,ranking
Q76450714,Anthony Mangnall,Q9626,Conservative Party (UK),27751,Q30173038,General election 2019,1
Q261553,Sarah Wollaston,Q9624,Liberal Democrats (UK),15027,Q30173038,General election 2019,2
,Louise Webberley,Q9630,Labour Party (UK),8860,Q30173038,General election 2019,3
,John Kitson,Q327591,Independent politician,544,Q30173038,General election 2019,4
Q261553,Sarah Wollaston,Q9626,Conservative Party (UK),26972,Q25052149,General election 2017,1
,Gerrie Messer,Q9630,Labour Party (UK),13495,Q25052149,General election 2017,2
,Julian Brazil,Q9624,Liberal Democrats (UK),6466,Q25052149,General election 2017,3
,Jacqi Hodgson,Q9669,Green Party of England and Wales,2097,Q25052149,General election 2017,4
,Steven Harvey,Q10647,UK Independence Party,1240,Q25052149,General election 2017,5
Q261553,Sarah Wollaston,Q9626,Conservative Party (UK),24941,Q3586935,General election 2015,1
,Justin Haque,Q10647,UK Independence Party,6656,Q3586935,General election 2015,2
,Nicky Williams,Q9630,Labour Party (UK),5988,Q3586935,General election 2015,3
,Gill Coombs,Q9669,Green Party of England and Wales,4845,Q3586935,General election 2015,4
,Julian Brazil,Q9624,Liberal Democrats (UK),4667,Q3586935,General election 2015,5
Q261553,Sarah Wollaston,Q9626,Conservative Party (UK),21940,Q215622,General election 2010,1
,Julian Brazil,Q9624,Liberal Democrats (UK),17013,Q215622,General election 2010,2
,Carole Whitty,Q9630,Labour Party (UK),3538,Q215622,General election 2010,3
,Jeffrey Beer,Q10647,UK Independence Party,2890,Q215622,General election 2010,4
,Lydia Somerville,Q9669,Green Party of England and Wales,1181,Q215622,General election 2010,5
,Mike Turner,Q161269,British National Party,624,Q215622,General election 2010,6
Q7518649,Simon Drew,Q327591,Independent politician,390,Q215622,General election 2010,7
,Stephen Hopwood,Q327591,Independent politician,267,Q215622,General election 2010,8
Q4773519,Anthony Steen,Q9626,Conservative Party (UK),21112,Q428598,General election 2005,1
,Mike Treleaven,Q9624,Liberal Democrats (UK),19165,Q428598,General election 2005,2
,Valerie Burns,Q9630,Labour Party (UK),6185,Q428598,General election 2005,3
Q7358482,Roger Knapman,Q10647,UK Independence Party,3914,Q428598,General election 2005,4
,Michael Thompson,Q327591,Independent politician,199,Q428598,General election 2005,5
Q4773519,Anthony Steen,Q9626,Conservative Party (UK),21914,Q590740,General election 2001,1
,Rachel Oliver,Q9624,Liberal Democrats (UK),18317,Q590740,General election 2001,2
,Thomas Wildy,Q9630,Labour Party (UK),6005,Q590740,General election 2001,3
Q5181182,Craig Mackinlay,Q10647,UK Independence Party,3010,Q590740,General election 2001,4
Q4773519,Anthony Steen,Q9626,Conservative Party (UK),19637,Q918503,General election 1997,1
